,Episode Number,Title,Plot,Release Date,Average Rating
129,130,Kiken na Kaori! Shichininme wa Nico Robin!,"With Mr.2's help, Straw Hat crew manages to escape from Marines. Suddenly, Nico Robin appears from the inside of the ship and persuades Luffy and the rest of the crew to let her be the seventh crew.","Sun, Oct 27, 2002",8.6
130,131,Hajimete no Kranke! Rumble Ball Hiwa,"Straw Hat crew lands on an uninhabited island. As usual, some of the crew is sent to gather food or survey the island. Chopper stays behind to guard the ship, but realize that Robin stays as well. Awkwardly he tells the story about his mentor, and also his first patient, Dr. Kureha.","Sun, Nov 3, 2002",7.0
131,132,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,"Accidentally, Luffy fishes a huge ammonite and apparently it is a kind of vehicle owned by a traveling salesman. Nami gets a pile of paper and then begins to draw the map of the world like she always dreams about, only to find that she should restart twice drawing the map of the Reverse Mountain due to the mischief of the crew.","Sun, Nov 10, 2002",6.6
132,133, Uketsugareru Recipe! Curry no Tetsujin Sanji,"Tajiyo, a young trainee cook in a Marine's ship falls from the ship and wakes up in Straw Hat's ship. Surprised by the quality of Sanji's food, he then goes back to his ship along with Luffy and Sanji, who helps him cook the perfect dish.","Sun, Nov 17, 2002",6.8
133,134,Sakasete Misemasu! Otoko Usopp Hasshakudama,"Straw Hat's crew arrives on the next island, and it seems that it is day the inhabitants of the island hold their annual fireworks show. Usopp goes to the fireworks factory run by an old man named Odama and his granddaughter, Kodama.","Sun, Nov 24, 2002",6.8
134,135,Uwasa no Kaizokugari! Sasurai no Kenshi Zoro,"In his quest to repair his katana, Zoro defeats two brother pirates.","Sun, Dec 1, 2002",6.9
135,136,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,Luffy and his friends escape from the Marines once again and find an unknown island where old pirate Zenny dwells.,"Sun, Dec 8, 2002",6.5
136,137, Moukarimakka? Kanekashi Zenny no Yabou!,Zenny reveals his past life while the Marines make their moves to get both Luffy's reward and the moneylender's treasure.,"Sun, Dec 15, 2002",6.6
137,138,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,The Marines are defeated and Zenny prepares to begin his pirate new life.,"Sun, Dec 22, 2002",6.5
138,139,Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo,"The gang lands in Ruluka island, where they meet old professor Henzo and his lifetime studies about the Rainbow Mist. Sanji fights the son of current mayor Wetton.","Wed, Jan 8, 2003",6.9
139,140,Eien no Kuni no Juunin! Pumpkin Kaizokudan!,"Luffy, Zoro, Ussop, Nico and Professor Henzo enter the Rainbow Mist where they find the Pumpkin Pirates. Meanwhile, Nami, Chopper and Sanji find out that the Going Merry is gone and decide to go after it.","Sun, Jan 12, 2003",6.7
140,141,Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!,Henzo makes friends with the pumpkin pirates but Rapanui remains distrustful. Luffy and friends try to find the way out from the Rainbow Mist while Nami sails to help them. Sanji and Chopper prepare to fight Wetton's people.,"Sun, Jan 19, 2003",6.7
141,142,Ransen Hisshi! Wetton no Yabou to Niji no Tou,"Whetton has the large tower in the city falls into the Rainbow Mist, creating a bridge that connects both world. He and his men then cross the bridge to take the treasures inside.","Sun, Jan 26, 2003",6.7
142,143,Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e,The end of Whetton's tax run.,"Sun, Feb 2, 2003",7.4
143,144,Ubawareta Log! Salvage-ou Mashira!,"In order to find the way to the mythical sky island, Skypiea, the Straw Hat Pirates must explore a sunken ship, working around the King of Salvagers, Masira, as well as the dangerous beasts of the deep.","Sun, Feb 9, 2003",7.2
144,145,Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna,"As if escaping the jaws of a giant sea turtle and dealing with an infuriated Masira weren't enough, the crew also has to contend with monsters that reach up to the sky and blot out the sun! In the meantime, Buggy and his crew have to put up with Portgas D. Ace, second in command to the dangerous Whitebeard!","Sat, Oct 6, 2007",7.5
145,146,Yume o Miruna! Azakeri no Machi Mock Town!,"The Straw Hat Crew arrives to Jaya and Luffy, Zoro and Nami walk into town to find information about the Sky Island, but on the way they meet $55.000.000-reward pirate Bellamy who mocks about their quest.","Sat, Oct 13, 2007",8.0
146,147,Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou,"Luffy and Zoro are beaten by Bellamy so they and Nami go back to the ship. Robin finds information about the Sky Island and the crew departs, but they are confronted with pirate Shojo.","Sat, Oct 20, 2007",7.7
147,148,"Densetsu no Ichizoku! ""Usotsuki Norland""","Luffy and his friends meet Cricket Montblanc, the great-great-grandchild of Norland the Lier, and he tells them the story about the City of Gold.","Sat, Oct 27, 2007",7.6
148,149,Kumo Kaji Ippai! Southbird o Oe!,"The crew is ordered by Cricket to find a Southbird, because otherwise they will not be able to orient in the open sea. Bellamy arrives at the diver's house.","Sat, Nov 3, 2007",7.4
149,150,Yume wa Kanawanai!? Bellamy VS Saruyama Rengou,Bellamy steals the Sarumaya Alliance gold while the crew is hunting a Southbird. Luffy goes after Bellamy.,"Sat, Nov 10, 2007",8.1
150,151,Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige,Luffy defeats Bellamy and recovers Cricket's gold.,"Sat, Nov 24, 2007",9.3
151,152,Fune wa Sora o Yuku! Knock-Up Stream ni Nore,The Gold Merry is repaired and the crew sails to meet the Knock Up Stream and find the Sky Island. Blackbeard goes after Luffy.,"Sat, Dec 1, 2007",8.2
152,153,Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon,"wandering trough the Sea of the Sky, the crew meets Gan Fall, the Knight of the Sky. He saves them from the attack of a treasure hunter. Later, they find the way up to the White White Sea.","Sat, Dec 8, 2007",7.7
153,154,Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi,"The Straw Hat Crew arrives to Skypiea, where they meet angels Conis and her father Pagaya. Nami gets lost while trying to drive the Waver.","Sat, Dec 15, 2007",7.4
154,155,Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!,Nami meets some mysterious warriors in the Forbidden Island while Pagaya tries to repair the old Waver the crew found in the Lower World. The White Berets go after the pirates for their illegal enter into Skypiea.,"Sat, Dec 22, 2007",7.4
155,156,Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin,The White Berets try to force the crew to pay the fee while Nami is returning from the Forbidden Island. They fight and defeat the Berets and become class 2 criminals.,"Sat, Dec 29, 2007",7.5
156,157,Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!,"While the crew is preparing to leave Skypeia, Luffy, Ussop and Sanji go back to Pagaya's house seeking food and materials. The ship is trapped by a giant crab, and carried to the Upper Yard.","Sat, Jan 5, 2008",7.4
157,158, Lovely-doori no Wana! Zennounaru God Enel,"Conis reveals her true intentions and Enel unleash his rage. Luffy, Sanji and Usopp sail towards the Upper Yard.","Sat, Jan 12, 2008",7.6
158,159,Susume Karasumaru! Ikenie no Saidan o Mezase,"Luffy, Sanji and Usopp sail along the Milky Road and face different kinds of traps. The rest of the crew is caught at the Sacrificial Altar, where Chopper repairs the Going Merry while Robin, Zoro and Nami go into the sacred jungle.","Sat, Jan 19, 2008",7.6
159,160, Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!,"Luffy, Sanji and Usopp meet Priest Satori and his balls. The crow boat is lost and the crew must defeat Satori and find the boat before is too late.","Sat, Jan 26, 2008",7.6
160,161,"""Tama no Shiren"" no Kyoui! Mayoi no Mori no Shitou","Robin finds a trail hidden under the moss, while one of the Sacred Priests visits Chopper at the Altar. The fight against Satori continues.","Sat, Feb 2, 2008",7.5
161,162,Chopper Ayaushi! Motokami Tai Shinkan Shura,Gan Fall arrives to rescue Chopper from evil Priest Shura. Robin finds a pit within some ruins. Satori prepares a great surprise for Luffy.,"Sat, Feb 9, 2008",7.8
162,163, Makafushigi! Himo no Shiren to Koi no Shiren!?,"Luffy and Sanji manages to defeat Satori. Meanwhile, Gan Fall is defeated and falls to the water. Even though he knows he can't swim, Chopper jumps into the water to save him.","Sat, Feb 16, 2008",7.7
163,164,Shandra no Hi o Tomose! Senshi Wiper,"Chopper and Gan Fall are saved by the Southbirds, and they tell Chopper that Gan Fall is actually the God of Skypiea. Meanwhile, Nami, Zoro and Robin find out the truth why Upper Yard is a soil island.","Sat, Feb 23, 2008",7.8
164,165,Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!,"The Shandians, lead by Wyper, begins to attack the Upper Yard. After knowing the truth about the island and being reunited, Straw Hat crew decide to search for the gold on the island.","Sat, Mar 1, 2008",7.6
165,166,"Ougon Zen'yasai! ""Vearth"" e no Omoi!",Straw Hat Crew sets a camp at the Upper Yard and discusses the plan for retrieving the gold. Gan Fall who is taken care of by Chopper finally wakes up and tells them all the history of Upper Yard.,"Sat, Mar 8, 2008",7.3
166,167,God Enel Toujou!! Ikinokori e no Aubade,"God Enel shows himself in front of his priests, foreseeing the incoming war between Shandia, priests, and pirates from Blue Sea (a.k.a Straw Hat crew) at the Upper Yard.","Sat, Mar 15, 2008",7.5
167,168,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,"Gan Fall tells the story about the raising of Enel's tyranny, and the vengeance of the Shandian people. Luffy, Zoro, Chopper and Robin escape from a poisonous python.","Sun, Oct 12, 2003",7.5
168,169,"Sutemi no Haigeki (Reject)! ""Senki"" Wiper no Kakugo","The Survival Game begins and Shura is the first to fall. The Shandians split and Wiper meets Luffy. Enel sends the 50 Sacred Warriors. Gan Fall teaches Sanji, Nami, Usopp and Chopper about the power of the Reject Dial.","Sun, Oct 19, 2003",7.8
169,170,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,"Robin makes it to the ruins and fight against a Sacred Warrior. Zoro faces the lightguns of Braham, while Luffy is still entertained with Wiper. Enel comes into scene.","Sun, Oct 19, 2003",7.9
170,171,Unaru Burn Bazooka!! Luffy VS Senki Wiper,Satori's younger brothers appear to fight against Nami and Gan Fall. Luffy is swallowed by the giant python. Chopper meets the Iron Priest.,"Sun, Oct 26, 2003",7.6
171,172,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,"Luffy is still trapped into the python, while Robin tries to protect the ruins she found from the powerful attacks of Chief Yama. Chopper must face his fears in order to defeat Priest Gedatsu.","Sun, Nov 2, 2003",7.7
172,173,Muteki no Nouryoku! Akasareru Enel no Shoutai,"The Survival Game continues, Gan Fall and Nami defeat Zatori's younger brothers Hotori and Kotori. The former god goes after Enel and Nami is left with his Impact Dial. Conis and Pagaya make it to the Going Merry.","Sun, Nov 9, 2003",7.8
173,174,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,Robin defeats Chief Yama and arrives to the city of Shandora. Zoro makes a new friend. Luffy is starving but still inside the python.,"Sun, Nov 16, 2003",7.9
174,175, Seizonritsu 0%!! Chopper VS Shinkan Ohm,"Chopper tries to escape from Priest Ohm. Nami and Aisa gets lost in the forest after the giant python spots the Going Merry. Zoro, Gan Fall and Wiper meet Priest Ohm and prepare for the battle.","Sun, Dec 21, 2003",7.7
175,176,Giant Jack o Nobore!! Jouzou Iseki no Shitou,"Nami and Aisa arrive to the Upper Ruins when escaping from the python, where the fight between Zoro, Gan Fall, Ohm and Wiper continues. Zoro finds Chopper, and goes mad. Gan Fall saves Nami and Aisa from Wiper's rage.","Sun, Jan 11, 2004",7.9
176,177,Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!,"Laki climbs to the Upper Ruins and meets Wiper. Enel appears and attacks her, then leaves. Nami, Gan Fall, Pierre and Aisa meet Luffy. Zoro tries to kill the python bur Ohm interferes.","Sun, Jan 18, 2004",7.8
177,178, Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!,Fight between Zoro and Ohm continues while Luffy and Nami are still inside the python. Enel meets Robin in the Lower Ruins. One of the Gan Fall Guardians scape and makes it to the beach where Conis and Pagaya are treating Sanji and Usopp.,"Sun, Jan 25, 2004",8.3
178,179,Kuzure Yuku Jousou Iseki! Finale e no Quintet!!,"Nami and Gan Fall come out of the python, which is rapidly terminated by Enel. The Survival Game's finale is approaching and there are still six survivors. Luffy and Aisa remain caught.","Sun, Feb 1, 2004",8.1
179,180,Kodai Iseki no Taiketsu! God Enel no Mokuteki!!,"Enel reveals his intentions of returning to his birth land, Fairy Vearth. The 6th survivor is defeated and Enel invites the winners to come with him. Robin and Zoro face the strength of the God, but Wiper has a final strategy.","Sun, Feb 8, 2004",8.9
180,181,Fairy Vearth e no Yabou Hakobune Maxim!!,"Enel's fierce is unleashed when the survivors try to resist him. Nami goes with Enel to Fairy Vearth so he takes her to the Maxim. Luffy, Aisa and Pierre come out of the python and find the beaten crew. Robin warns Luffy about Enel's intentions.","Sun, Feb 15, 2004",8.1
181,182,Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!,Conis arrives to Angel Island and prevents the people from Enel's plan. McKinley backs her and together they organize the exodus. Aisa guides Luffy to the cave where Enel and Nami are hidden. The battle begins.,"Sun, Feb 22, 2004",9.0
182,183,Maxim Fujou! Ugoki Hajimeta Deathpiea!!,Enel prepares his final attack towards Angel Island. The people is gathering into the ships but some citizens decide to go to the shandian village and warn them. Luffy must overcome Enel's ability of Mantra.,"Sun, Feb 29, 2004",9.0
183,184,Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!,Luffy is trapped by a giant gold ball and falls from the Maxim ship. The shandians are informed about the danger. Sanji and Usopp leave the Going Merry to save Nami.,"Sun, Mar 7, 2004",8.0
184,185,Mezameta Futari! Moeru Koi no Kyuushutsu Zensen,"Sanji and Usopp prepare a plan to save Nami. Aisa and Pierre find Luffy and try to help him get rid of the golden ball. Meanwhile, in the Angel Island, people is rushing towards Cloud End.","Sun, Mar 14, 2004",8.6
185,186,Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!,The attack of Deathpeia begins while the Straw Hat Crew is gathering again at the foot of the Giant Jack. Thunders strike Angel Island. Luffy raises once more and runs to stop Enel.,"Sun, Mar 21, 2004",7.8
186,187,Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari,A flashback from Wyper about the history of Calgara and Norland. How Norland and his crew came to Calgara's village and saved the village from the epidemic.,"Sun, Mar 28, 2004",7.7
187,188,Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!,"Norland and Calgara became best buddies, however, when the time almost came for Norland to go back to his kingdom, suddenly the villagers hate them.","Sun, Mar 28, 2004",7.8
188,189,Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!,"Not long before Norland sails away, the misunderstanding between them is explained and resolved. Calgara promises Norland that he will keep ringing the bell so that Norland will find his way again to their island, while Norland promises Calgara that he will go back with his king.","Wed, Apr 7, 2004",9.0
189,190,Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!,"Wiper finds out from Niko Robin that Montblanc Noland has a descendant that is searching for the City of Gold, and that that is the reason why Luffy wants to ring the Golden Bell.","Sun, Apr 25, 2004",8.0
190,191,Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi,"Nami comes out with a good plan so that she and Luffy can reach Enel, by knocking down the Giant Jack. Zoro cuts the stalk, but Enel attacks him before he can cuts the stalk once more. Robin tells Wyper that Luffy wants to ring the bell so that the descendant of Norland far below will hear it. Wyper then uses Reject to knock down Giant Jack.","Sun, May 2, 2004",8.1
